gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AvgMonthlyCharge,ChargePerService,TenureGroup_Loyal,TenureGroup_Mature,TenureGroup_New
0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,True,False,True,False,False,True,False,107.71052631578948,13.8125,True,False,False
0,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,False,False,True,False,True,False,False,57.2095744680851,18.55,False,True,False
0,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,False,False,False,False,False,False,True,53.583333333333336,9.108333333333333,False,False,True
1,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,False,False,False,False,False,True,False,68.10645161290323,9.34375,False,True,False
0,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,False,True,True,False,True,False,False,26.44782608695652,4.316666666666666,False,True,False
0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,True,False,False,False,False,True,False,39.675,15.87,False,False,True
0,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,False,False,False,False,False,True,False,47.112500000000004,8.424999999999999,False,False,True
0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,True,False,False,False,False,False,False,62.1125,15.030000000000001,False,False,True
0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,True,False,False,False,False,False,False,100.63953488372093,12.975,False,True,False
0,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,False,True,False,True,False,False,False,19.467,5.0375,True,False,False
1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,True,False,False,False,True,False,False,91.875,12.4125,False,False,True
0,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,False,False,True,False,False,False,False,61.540277777777774,10.358333333333333,False,True,False
0,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,False,True,False,True,False,False,False,21.571428571428573,5.1625,False,True,False
0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,False,True,False,True,False,False,True,19.72553191489362,3.9899999999999998,False,True,False
1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,False,False,False,False,False,False,True,33.641666666666666,8.4375,False,True,False
1,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,True,False,False,False,False,False,False,82.90967741935484,11.721428571428572,False,True,False
1,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,True,False,False,False,False,True,False,37.35,18.675,False,False,True
1,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,False,False,False,True,False,False,True,85.28731343283582,7.0,True,False,False
0,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,True,False,False,False,True,False,False,107.68181818181819,12.338888888888889,True,False,False
1,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,True,False,False,True,False,False,False,102.17876712328767,11.211111111111112,True,False,False
0,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,True,False,False,False,False,True,False,71.33461538461539,15.790000000000001,False,False,True
1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,False,False,True,False,True,False,False,65.95416666666667,6.685,True,False,False
1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,False,True,False,False,False,False,True,18.974999999999998,7.016666666666667,False,False,True
1,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,False,True,False,True,False,False,False,20.89056603773585,7.0,True,False,False
0,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,True,False,False,False,False,True,False,96.71153846153847,12.3125,False,True,False
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,False,True,False,False,False,False,True,10.1,6.733333333333333,False,False,True
0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,False,True,False,False,False,True,False,9.725,4.8625,False,False,True
1,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,True,False,True,False,False,False,False,92.45128205128205,13.571428571428571,False,True,False
0,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,False,False,True,False,False,False,False,45.18283582089552,9.11,True,False,False
1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,True,False,False,True,False,False,False,110.31666666666668,10.0,True,False,False
1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,False,False,False,False,False,False,True,16.7,12.15,False,False,True
0,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,True,False,True,False,False,True,False,100.04178082191781,10.415000000000001,True,False,False
0,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,False,False,True,False,False,False,True,28.11060606060606,15.075,False,True,False
1,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,True,False,True,False,False,False,True,89.12045454545455,15.725,False,True,False
1,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,False,True,False,True,True,False,False,18.674657534246574,3.88,True,False,False
1,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,True,False,False,False,False,True,False,93.55178571428571,10.75,True,False,False
0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,False,False,True,False,True,False,False,57.40094339622642,11.59,True,False,False
0,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,True,False,False,False,False,True,False,89.86590909090908,15.275,False,True,False
0,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,True,False,False,False,False,True,False,75.47763157894737,15.3,False,True,False
0,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,False,False,False,True,False,True,False,52.66923076923077,6.825,True,False,False
1,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,True,False,False,False,False,True,False,62.1,11.23125,False,False,True
0,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,False,False,False,True,False,False,False,30.44189189189189,15.525,False,True,False
0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,True,False,False,False,False,True,False,96.78636363636365,11.13888888888889,False,False,True
0,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,False,True,False,True,False,False,True,19.88452380952381,10.325,False,True,False
1,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,True,False,False,False,True,False,False,76.84285714285714,9.466666666666667,False,True,False
0,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,True,False,True,False,True,False,False,96.76228070175438,11.088888888888889,True,False,False
0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,False,True,False,False,False,False,True,16.107142857142858,10.35,False,False,True
1,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,True,False,False,False,False,True,False,57.3875,14.88,False,False,True
0,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,False,False,False,False,False,False,True,43.79375,10.14,False,False,True
0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,False,True,False,False,False,False,True,12.58,5.2125,False,False,True
1,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,True,False,False,True,False,True,False,89.0485294117647,12.707142857142857,False,True,False
0,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,True,False,False,False,False,True,False,76.26785714285714,15.61,False,True,False
1,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,False,True,False,True,False,False,False,23.615753424657534,3.9250000000000003,True,False,False
1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,False,True,False,False,False,False,True,9.875,6.583333333333333,False,False,True
1,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,False,False,True,False,False,True,False,55.35208333333333,8.064285714285715,True,False,False
0,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,True,False,False,False,False,True,False,86.83214285714287,17.19,False,False,False
0,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,False,False,False,False,True,False,False,57.79423076923077,6.511111111111111,False,True,False
1,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,False,False,False,True,False,False,False,47.942647058823525,12.6375,True,False,False
1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,False,False,False,False,False,True,False,17.725,8.8625,False,False,True
1,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,False,False,False,False,False,True,False,27.083333333333332,14.783333333333333,False,False,True
0,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,False,True,False,True,True,False,False,27.004545454545454,6.425,False,True,False
0,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,True,False,False,False,False,False,False,74.10416666666667,18.75,False,False,False
0,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,False,True,False,True,False,False,True,19.657692307692308,5.05,True,False,False
1,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,False,True,False,True,False,False,True,20.181896551724137,3.9200000000000004,True,False,False
0,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,True,False,False,False,False,False,True,35.225,17.6125,False,False,True
0,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,False,False,False,True,True,False,False,88.02260273972603,7.3374999999999995,True,False,False
0,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,False,False,False,False,False,True,False,62.62777777777777,11.858333333333334,False,False,True
0,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,True,False,False,True,False,False,False,96.31048387096774,12.63125,True,False,False
1,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,True,False,True,False,True,False,False,81.37,12.042857142857143,True,False,False
1,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,False,True,False,True,False,False,False,24.391666666666666,4.79,True,False,False
0,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,True,False,False,True,True,False,False,97.22272727272727,9.905,True,False,False
1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,False,True,True,False,False,False,True,15.3375,6.533333333333334,False,False,True
1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,False,False,False,False,False,True,False,22.825,11.4125,False,False,True
1,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,False,False,True,False,True,False,False,62.25645161290323,9.214285714285714,False,True,False
1,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,False,False,False,False,False,False,True,66.9625,6.95,False,False,False
0,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,False,False,False,False,False,True,False,62.705555555555556,8.56875,False,False,True
1,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,True,False,False,False,False,False,True,81.9375,15.833333333333334,False,False,True
0,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,True,False,True,False,True,False,False,111.69788732394366,9.831818181818182,True,False,False
1,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,False,False,False,True,False,True,False,82.78174603174604,7.827272727272727,True,False,False
0,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,False,True,False,False,False,False,True,16.214285714285715,4.925,False,False,True
0,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,True,False,False,False,False,False,False,76.85333333333332,13.483333333333334,False,False,False
0,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,0,True,False,False,False,False,False,False,79.21521739130435,16.830000000000002,False,False,False
1,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,0,False,True,True,False,False,False,True,18.256521739130434,4.029999999999999,False,False,False
1,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,0,False,False,False,True,False,False,True,60.23529411764706,8.03125,False,False,False
1,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,False,True,False,True,False,False,False,22.87272727272727,6.425,False,False,True
0,0,0,1,13,1,0,1,1,0,0,0,0,1,56.0,764.55,0,False,False,False,False,False,True,False,54.61071428571428,9.333333333333334,False,False,False
0,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,1,True,False,False,False,False,True,False,75.82619047619048,16.48,False,False,False
0,0,0,0,2,1,0,0,0,0,0,0,0,1,69.7,135.2,0,True,False,False,False,False,True,False,45.06666666666666,23.233333333333334,False,False,True
1,0,0,0,53,1,1,0,1,1,1,0,1,1,73.9,3958.25,0,False,False,False,True,False,False,False,73.30092592592592,8.211111111111112,True,False,False
0,0,1,1,11,1,0,0,0,0,0,0,0,0,20.6,233.9,0,False,True,True,False,False,False,True,19.491666666666667,5.15,False,False,True
1,0,1,0,69,1,0,0,0,0,0,0,0,0,19.9,1363.45,0,False,True,False,True,False,False,True,19.477857142857143,4.975,True,False,False
0,0,0,0,4,1,0,0,0,0,0,0,0,1,70.9,273.0,1,True,False,False,False,False,False,False,54.6,23.633333333333336,False,False,True
1,0,1,0,72,1,1,1,1,1,1,1,1,1,89.05,6254.45,0,False,False,False,True,False,False,False,85.67739726027396,7.420833333333333,True,False,False
1,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,False,False,False,False,False,True,False,44.93559322033898,6.471428571428571,True,False,False
0,0,1,1,16,1,0,0,0,0,0,0,0,0,20.4,321.4,0,False,True,False,False,False,True,False,18.905882352941177,5.1,False,False,False
1,0,1,0,43,1,0,1,0,1,1,0,0,1,84.25,3539.25,0,True,False,True,False,False,False,False,80.4375,10.53125,False,True,False
0,0,1,0,2,1,1,0,0,1,1,1,1,1,104.4,242.8,1,True,False,False,False,False,True,False,80.93333333333334,11.600000000000001,False,False,True
1,0,1,0,14,1,0,0,1,1,1,1,1,0,81.95,1181.75,0,False,False,False,True,False,False,True,78.78333333333333,9.105555555555556,False,False,False
0,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,1,True,False,True,False,False,False,False,92.59629629629629,13.549999999999999,True,False,False
0,0,0,0,32,1,0,0,0,0,0,0,0,0,20.55,654.55,0,False,True,True,False,False,False,False,19.834848484848482,10.275,False,True,False
0,0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,780.2,0,False,True,False,False,False,True,False,22.291428571428572,6.175,False,True,False
0,1,0,0,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,1,True,False,False,False,False,False,True,71.60625,18.6125,False,False,False
0,1,0,0,7,1,0,1,0,0,0,0,0,0,76.45,503.6,1,True,False,False,False,False,False,False,62.95,25.483333333333334,False,False,True
0,0,1,1,15,1,1,0,1,1,0,1,1,1,105.35,1559.25,0,True,False,False,False,False,False,False,97.453125,10.535,False,False,False
1,0,1,0,61,1,0,0,0,0,0,0,0,1,20.55,1252.0,0,False,True,True,False,True,False,False,20.193548387096776,4.11,True,False,False
0,0,0,0,1,0,0,0,1,0,0,0,0,0,29.95,29.95,1,False,False,False,False,False,False,False,14.975,14.975,False,False,True
0,0,0,0,1,1,0,0,0,0,0,0,0,0,45.3,45.3,0,False,False,False,False,False,False,True,22.65,22.65,False,False,True
1,0,0,0,8,1,1,0,0,0,0,0,1,0,84.5,662.65,1,True,False,False,False,False,False,False,73.62777777777778,16.9,False,False,True
1,0,1,1,33,1,0,1,0,1,0,1,1,0,74.75,2453.3,0,False,False,True,False,True,False,False,72.15588235294118,8.305555555555555,False,True,False
0,0,0,0,13,1,0,0,1,1,0,0,0,1,79.25,1111.65,1,True,False,False,False,False,True,False,79.40357142857144,15.85,False,False,False
0,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,False,False,False,False,False,True,False,12.4,8.266666666666667,False,False,True
1,0,0,0,20,1,0,0,1,0,0,0,0,1,51.8,1023.85,0,False,False,False,False,False,False,True,48.75476190476191,10.36,False,False,False
